dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
iqon3000_clean,resnet50,CP,contains_category,<missing>,1000,500.0,roc_auc,0.6525880000000001
iqon3000_clean,resnet50,CP,contains_category,Tシャツ,6454,3227.0,roc_auc,0.6080333573757754
iqon3000_clean,resnet50,CP,contains_category,アクセサリー,244,122.0,roc_auc,0.5805563020693362
iqon3000_clean,resnet50,CP,contains_category,アンダーウェア,228,114.0,roc_auc,0.6628193290243152
iqon3000_clean,resnet50,CP,contains_category,インテリア,526,263.0,roc_auc,0.6384941230898236
iqon3000_clean,resnet50,CP,contains_category,カーディガン,2912,1456.0,roc_auc,0.5791521536499216
iqon3000_clean,resnet50,CP,contains_category,キャップ,1584,792.0,roc_auc,0.6776245727476787
iqon3000_clean,resnet50,CP,contains_category,クラッチバッグ,5264,2632.0,roc_auc,0.5904598881200285
iqon3000_clean,resnet50,CP,contains_category,コスメ,1572,786.0,roc_auc,0.6188919967108883
iqon3000_clean,resnet50,CP,contains_category,コート,6724,3362.0,roc_auc,0.6026922924479459
iqon3000_clean,resnet50,CP,contains_category,サングラス,2016,1008.0,roc_auc,0.599788989669942
iqon3000_clean,resnet50,CP,contains_category,サンダル,7022,3511.0,roc_auc,0.6071864630841215
iqon3000_clean,resnet50,CP,contains_category,ショルダーバッグ,9372,4686.0,roc_auc,0.585282638288896
iqon3000_clean,resnet50,CP,contains_category,ショートパンツ,2752,1376.0,roc_auc,0.5945966358504597
iqon3000_clean,resnet50,CP,contains_category,ジャケット,4344,2172.0,roc_auc,0.603777696380181
iqon3000_clean,resnet50,CP,contains_category,スカート,10548,5274.0,roc_auc,0.5835681700096739
iqon3000_clean,resnet50,CP,contains_category,ストール,2954,1477.0,roc_auc,0.6023215827064412
iqon3000_clean,resnet50,CP,contains_category,スニーカー,5912,2956.0,roc_auc,0.611271185781173
iqon3000_clean,resnet50,CP,contains_category,タンクトップ,3390,1695.0,roc_auc,0.5793988914123616
iqon3000_clean,resnet50,CP,contains_category,ダウンジャケット,484,242.0,roc_auc,0.6270746533706714
iqon3000_clean,resnet50,CP,contains_category,チュニック,320,160.0,roc_auc,0.5512109374999999
iqon3000_clean,resnet50,CP,contains_category,トップス,3024,1512.0,roc_auc,0.606288142829148
iqon3000_clean,resnet50,CP,contains_category,トートバッグ,5620,2810.0,roc_auc,0.6107650612327604
iqon3000_clean,resnet50,CP,contains_category,ニット,7678,3839.0,roc_auc,0.5921084459605938
iqon3000_clean,resnet50,CP,contains_category,ニット帽,1110,555.0,roc_auc,0.6275659443227011
iqon3000_clean,resnet50,CP,contains_category,ネイル,408,204.0,roc_auc,0.6466503267973858
iqon3000_clean,resnet50,CP,contains_category,ネックレス,8532,4266.0,roc_auc,0.586868107908035
iqon3000_clean,resnet50,CP,contains_category,ハット,3502,1751.0,roc_auc,0.6011576643321381
iqon3000_clean,resnet50,CP,contains_category,ハンドバッグ,2922,1461.0,roc_auc,0.586345601659576
iqon3000_clean,resnet50,CP,contains_category,バッグ,1482,741.0,roc_auc,0.6185826863431807
iqon3000_clean,resnet50,CP,contains_category,パンプス,9260,4630.0,roc_auc,0.594368098932215
iqon3000_clean,resnet50,CP,contains_category,パーカー,838,419.0,roc_auc,0.6258166677109381
iqon3000_clean,resnet50,CP,contains_category,ピアス,15250,7625.0,roc_auc,0.5998512571889277
iqon3000_clean,resnet50,CP,contains_category,ファッション小物,274,137.0,roc_auc,0.5917736693483936
iqon3000_clean,resnet50,CP,contains_category,フレグランス,448,224.0,roc_auc,0.6148158482142858
iqon3000_clean,resnet50,CP,contains_category,ブラウス,8214,4107.0,roc_auc,0.5887897452661632
iqon3000_clean,resnet50,CP,contains_category,ブレスレット,4770,2385.0,roc_auc,0.5988003287493022
iqon3000_clean,resnet50,CP,contains_category,ブローチ,524,262.0,roc_auc,0.6714206631315192
iqon3000_clean,resnet50,CP,contains_category,ブーツ,4594,2297.0,roc_auc,0.5960576049963147
iqon3000_clean,resnet50,CP,contains_category,ヘアアクセサリー,2894,1447.0,roc_auc,0.6282674303147995
iqon3000_clean,resnet50,CP,contains_category,ベルト,1176,588.0,roc_auc,0.5871396177518626
iqon3000_clean,resnet50,CP,contains_category,ボストンバッグ,1076,538.0,roc_auc,0.576546758613065
